肺泡蛋白质沉积症,约40%
酒精性脂肪肝,70%
阿米巴性宫颈炎,80%
细菌性阴道病,80%
鹅掌风,98%
开放性颅脑损伤,50%
卵巢巧克力囊肿破裂,手术治愈率约80%
蜂螫伤,70%
病毒性胃肠炎,95%
下尺桡关节脱位,95%
蜂窝织炎,98%
卵巢支持-间质细胞瘤,整体预后良好，预后取决于肿瘤肺分级，高分化者可达到100%。肿瘤破裂或伴异源性成分则预后较差
慢性中耳炎,80%
下疳样脓皮病,50%
痱子,90%
慢性髓细胞白血病,80%
空巢综合症,98%
下腔静脉后输尿管,60-70%
妊娠高血压疾病,90%
老年性睑外翻,80%
子宫复旧不全,70%
妊娠合并肺栓塞,60-70%
不孕不育,80%(经过试管等特殊治疗，一般80%以上可以生育)
下丘脑错构瘤,75%
老年性哮喘,30%
下丘脑多汗症,无法根治，多以对症治疗为主
妊娠合并甲状旁腺功能减退,30%
副牛痘,70%
输卵管妊娠流产,70%
下肢动脉硬化闭塞症,10%
妊娠合并肠梗阻,外科手术治愈率约为95%
光感型药疹,85%
慢性细菌性痢疾,80%
结核性脑膜炎,30%
下肢交通静脉瓣膜关闭不全,75%
草莓状血管瘤,80%
固定性药疹,95%
精神发育迟缓,35%
下肢静脉曲张,治愈率80%
肠痉挛,90%
肝硬化性肾损害,65%
下肢静脉血栓形成,30%
乳突炎,多数可以治愈，少数病例出现严重并发症出现永久性听力损伤
夏伊-德雷格综合征,40%
淋病性关节炎,80%
抽动症,85%
先天性半侧肥大,30%
良性头部组织细胞增生症,98%治愈率
先天性肠闭锁,85%
慢性纤维性甲状腺炎,70%
青春前期牙周炎,98%
尿道综合征,70%
花斑癣,60%
先天性大疱性鱼鳞病样红皮病,40-50%
黄褐斑,60%
艾滋病人的急性阑尾炎,80%
先天性胆总管囊肿,90%
病毒性脑膜炎,80%
复张性肺水肿,90%
先天性短食管,60%
传染性单核细胞增多症,80%
出血性脑中风,30%
先天性肺动静脉瘘,90%
地方性甲状腺肿,95%
青春期厌食症,90%
核黄素缺乏病,80%
先天性肺发育不全,86%
腹外疝,90%
先天性副肌强直症,65%-75%
肝纤维板层癌,50%以上
结核性苔藓,90%
先天性副舟骨,60%
急性脓肿,90%
先天性腹壁肌肉发育不良,10%
唇癌,50－80%
先天性肝内胆管囊状扩张症,50%
黑色棘皮症,对症治疗为主，治愈率约为30%
钙化性肌腱炎,80%
先天性肝囊肿,85%
脑真菌性肉芽肿,85%
甲癣,98%易反复发病
色斑,50%
先天性肝纤维化,无法治愈，有效治疗可以控制病情
伤寒性心肌炎,70%
色素性痒疹,90%
先天性感觉性神经病,45%，易复发
伤口肉毒症,80%
大脑萎缩,
先天性肛门直肠畸形,50%
肛肠息肉,40%
马尔堡病毒病,30%
先天性睾丸发育不全,0%
慢性牙周炎,60%
陶瓷样胆囊,50%
甲沟炎,80%
先天性厚甲症,1%，以对症治疗为主
胆管结石,80%
血吸虫病与肝胆疾病,75%-85%
先天性环状束带,75%
肛门异物感,80%
剥脱综合征,70%
先天性肌强直,10%
面红和面红恐惧症,40%
先天性肌缺如,10%
胆管炎,78%
先天性巨大色素痣,80%
高位截瘫,10%
毛发囊肿,70%
脓毒症,60%
甲真菌病,80%
先天性巨输尿管,40%
屏幕脸,80%
麻风性角膜病变,65%
先天性髋关节外展挛缩和骨盆倾斜,80%
高血压性心脏病,是不能治愈的疾病，必须终生服用药物
先天性梅毒,43%
低钙血症,80%
先天性囊状腺样畸形,50%
高血压眼病,60%
甲状腺功能亢进性肝病,65%
先天性食管狭窄,86%
膀胱膨出,80%
系统性红斑狼疮性巩膜炎,60%
高原病,80%
先天性食管重复,85%
细粒棘球蚴病,80%
低颅压综合征,85%
接触性皮炎,60%
疲劳性骨折,95%
靶样含铁血黄素沉积性血管瘤,70%
先天性胃出口梗阻,98%
结肠阿米巴,70%
睾丸畸形,80%
先天性无虹膜,50%
疥疮,98%
青少年癫痫,30%
先天性膝关节脱位,70%
造口旁疝,70%
睾丸鞘膜积液,100%
先天性小肠闭锁和肠狭窄,80%
皮肌炎与多发性肌炎,60%
寻常型天疱疮,40-50%
暗色丝孢霉病,30%
毛发红糠疹,98%
先天性斜颈,85%
电解质紊乱,80%
烧伤败血症,90%
毛发上皮瘤,80%
根尖脓肿,80%
面部粟粒性狼疮,30%
宫颈微小型浸润癌,60%
免疫性不孕,50%
先天性心包缺如或缺损,50%
麻疹样红斑型药疹,70%
条纹状苔藓,40%，多以控制症状治疗为主
先天性性联无γ-球蛋白血症,
宫角妊娠,60%
玫瑰糠疹,90%
先天性胸腹裂孔疝,50%
遗传性乳腺癌-卵巢癌综合征,40%
牙斑,100%
毛囊炎,63%，易反复发病
白塞病性巩膜炎,30%
先天性胸骨后膈疝,90%
蝶窦炎,75%
麻风病,40-50%
先天性血管萎缩性皮肤异色症,40%
白血病肾损害,70%
尿潴留,80--90%
麻疹,80%
先天性眼球震颤,手术有效率约75%
白血病视网膜病变,75%
空调病,90%
女子颜面黑变病,65%-75%(激光治疗)
败血症肾损害,45%
先天性再生障碍性贫血,78%
口炎,95%以上
脓肿,88%
先天性支气管肺囊肿,40-60%
斑状白化病,对症治疗为主，无法根治
脓疱型银屑病,20%
脓疱疮,95%
先天性支气管囊肿,70%
斑状萎缩,55%-75%
显微型多血管炎,60%
动脉栓塞,65%
线粒体病,40%
瘢痕癌,10%以下
牛皮癣,90%治愈率
肋软骨炎,80%
板层状鱼鳞病,40%-60%以控制症状治疗为主
线粒体脑肌病,65%
风湿病,30%
皮样囊肿,90%
半月线疝,80%
线状IgA大疱性皮肤病,75%-80%
颅裂,75%
腺病毒性肠炎,92%
葡萄球菌性烫伤样皮肤综合征,70-80%
女性假两性畸形,90%
半椎体畸形,80%
腺病毒性肺炎,70%
多动症,75%
伴齿状突骨折的寰枢椎前脱位,90%
向颈段脊髓供血的根动脉缺血症候群,75%
伴纤维囊性骨炎的假性甲状旁腺功能低下症,45%
向胸腰段脊髓供血的大根动脉缺血症候群,70%
牙周脓肿,80%
鲍恩病,40%
项痈,85%
颅脑损伤,60%
鲍温样丘疹病,60%
功能性胃肠病,80%
橡胶制品所致的皮肤病,60%
暴发性痤疮,80%
颅内出血,50%
贝克痣,60%
女性癫痫,60%
疱疹样湿疹,70%
儿童股骨头坏死,90%
小肠过敏性紫癜,80%
背部弹力纤维瘤,80%
睾丸囊肿,95%
鼻部穿通性毛囊炎,63%，易反复发病
小肠结肠炎耶尔森菌肠炎,80%
卵巢囊肿蒂扭转,98%
小肠结肠炎耶尔森菌肺炎,50-70%
鼻疽假单胞菌肺炎,65%
睑内翻,60%
鼻旁窦支气管综合征,90%
小肠类癌,80%能够有效控制不再发展
卵巢性不孕,60%
闭孔疝,80%
小肠平滑肌瘤,80%
小儿支气管炎,治愈率99%
闭塞性动脉硬化,74%
小肠平滑肌肉瘤,外科手术治愈率约为65%
全身化脓性感染,85%
麻痹性睑外翻,80%
闭塞性血栓性脉管炎,70%
小肠腺癌,10%
耳结核,90%
闭锁肺综合征,75%
小肠腺瘤,40%
慢性粒单核细胞白血病,10%
小肠血管畸形,60%
膝内翻,60%
褥疮,60%
臂丛神经损伤,80%
骨癌,40-50%(外科手术治疗)
变态反应性结膜炎,70%（往往反复发作，现阶段尚无有效的方法根治。）
返流性胆管炎,60%
小肠血管瘤,80%
变形杆菌肺炎,60%-70%
马蹄形肾,80%，必要可以肾移植
小肠异物,85%
变性性近视的眼底损害,30-90%
眼底出血,30%
小肠原发性恶性淋巴瘤,40%
变异型心绞痛,70-80%
神经性皮炎,80%，易反复发病
小肠脂肪瘤,89%
变异型预激综合征,射频消融治疗，治愈率60-70%
瘙痒症,80%
放射性口炎,98%
小袋纤毛虫病,65%-75%
变异性红斑角化病,70%
小儿Alstrom综合征,0.001%
输卵管性不孕,40-60%
晒伤,99%
变应性皮肤血管炎,80%
小儿IgA肾病,65%
骨坏死,50%
表皮囊肿,70%
小儿X-连锁高免疫球蛋白M血症,无法根治，主要以对症治疗为主
表皮葡萄球菌肺炎,经过系统治疗后一般90%能够治愈。
小儿X-连锁淋巴组织增生性疾病,70%
手足癣,70-85%
表皮松解性棘皮瘤,75%
小儿X-连锁无丙种球蛋白血症,60%
表皮痣,65%
湿疹,90%，易反复发病
淋巴炎,40-60%
小儿X-连锁严重联合免疫缺陷病,外科手术治愈率约30-50%
宾斯旺格病,10%
深脓疱病,70%
小儿α1-抗胰蛋白酶缺乏症,40%
骨结核,91%
髌股关节软骨损伤,外科手术治愈率约为65%-75%
色素性荨麻疹,50%
小儿α-地中海贫血,30%
非特异性外阴炎,60%
髌骨骨软骨病,70%
小儿β地中海贫血,35%
丙酮酸激酶缺乏症,75%
小儿阿姆斯特丹型侏儒,30%
并发截瘫的脊柱结核,外科手术治愈率约为70%
小儿阿托品类中毒,90%
并发症白内障,90%(外科手术治疗)
小儿埃博拉病毒病,无法根治，对症治疗为主
病毒性出血热,60%
输卵管妊娠破裂,90%
秃头,80%
截瘫,低
小儿埃可及柯萨奇病毒感染,75%
小儿埃莱尔-当洛综合征,40%
病毒性食管炎,80%
骨筋膜室综合症,90%
玻璃体及视网膜脱离手术所致青光眼,35%
荨麻疹型药疹,85%
小儿爱德华兹综合征,对症治疗为主，无法根治
荨麻疹和血管性水肿,完全治愈率约为30%
剥脱性唇炎,55-65%
眼外伤,50%
播散性复发性漏斗部毛囊炎,80%
小儿鞍上生殖细胞瘤,外科手术治愈率约为50-70%
荨麻疹性血管炎,70%
脊椎炎,30%
播散性黄瘤伴尿崩症,71%
小儿巴德-吉亚利综合征,70%
输卵管肿瘤,40%
小儿巴特综合征,95%
播散性嗜酸粒细胞增多性胶原病,75%
荨麻疹,98%
急性中耳炎,80%
播散性血管内凝血,70%
小儿白塞病,35%
银屑病,40%-60%
勃起功能障碍,70%
冠状动脉供血不足,40%
小儿白细胞黏附分子缺陷Ⅰ型,20--40%
不安腿综合征,70-90%
表皮样囊肿,95%
小儿白细胞黏附分子缺陷Ⅱ型,
不动杆菌肺炎,95%
过敏性结肠炎,80%
小儿白血病,5%
药疹,70%
小儿半乳糖血症,60%
外伤性股骨头坏死,60%
疣,60%
小儿膀胱-输尿管反流综合征,75%
不动杆菌感染,60-80%
心肌缺血,40%
小儿豹皮综合征,30%
不动纤毛综合征,68%
小儿贲门失弛缓症,80%
不稳定型心绞痛,70%
输血后肝炎,80%
小儿苯丙酮尿症,70%
不稳定血红蛋白病,对症治疗，无法根治
小儿便秘,90%治愈
原发性皮肤淀粉样变性,60%
红皮性银屑病,30%
布氏杆菌性关节炎,80%
小儿变形性肌张力障碍,40%
布氏菌病,治愈率86%
心包炎,60%
小儿变应性鼻炎,75%
喉痉挛,60--80%
布氏菌肺炎,75%
痒疹,98%
药物过敏性口炎,90%
小儿变应性亚败血症综合征,30%
步态异常,95%
药物性耳聋,耳毒性药物引起的耳聋为不可逆性，治疗效果不理想，重在预防
小儿丙酸血症,75%
硬红斑,80%
小儿丙型病毒性肝炎,10%
药物中毒,70%
脂溢性皮炎,80%
C5功能不全综合征,60%
小儿病毒感染性口炎,99.3%
职业黑变病,70%
喉麻痹,40%
Castleman病,60%
小儿病毒相关吞噬血细胞综合征,90%
CD30阳性皮肤T细胞淋巴瘤,35%
小儿病毒性心肌炎,95%
胰头癌,78%
小儿病态窦房结综合征,70%
Chance骨折,80%
糖尿病型牙周炎,20%
中毒性坏死性表皮松解型药疹,80%
小儿波-杰综合征,80%
着色芽生菌病和暗色丝孢霉病,85%
小儿播散性血管内凝血,30%
CM1神经节苷脂贮积症,60%
喉水肿,70%
小儿播散性脂肪肉芽肿综合征,15%
残胃平滑肌肉瘤,76%
小细胞肺癌,分期不同治疗敏感性不同生存期各有不同
小儿伯-韦综合征,30%
苍白球黑质红核色素变性,45%
小儿不对称身材-矮小-性发育异常综合征,无法根治
胰腺结核,80%
茶毛虫皮炎,90%
小儿部分性肺静脉异位连接,90%
腹股沟肉芽肿,20-40%
臀肌挛缩症,80%
产后精神病,50%
小儿肠病性肢端皮炎,60-70%
遗传性肾炎,60%
产后泌尿道感染,75%
小儿肠套叠,90%
小儿胃肠炎,99%
产后虚脱,98%
小儿肠吸收不良综合征,87%
原发性脑干损伤,10%
产后抑郁症,70-80%
小儿肠系膜淋巴结结核,60%
喉狭窄,65%-75%(外科手术治疗)
产碱杆菌肺炎,46%
小儿肠旋转不良,50%
产科播散性血管内凝血,85%
小儿常染色体显性小脑性共济失调,无法治愈
躁狂抑郁症,80%
梅毒,40%
产科休克,90%
小儿常染色体隐性小脑性共济失调,40%
真菌性脑膜炎,90%
产力异常性难产,95%
小儿潮红综合征,87%
网络成瘾,98%
长骨骨干结核,70%
小儿成骨不全,40%
长骨造釉细胞瘤,外科手术治愈率约为65%
小儿成人型慢性粒细胞白血病,70%（骨髓移植可达70%）
长膜壳绦虫病,80%
肠白塞病,75%
小儿抽动症,40%
化脓性鼻窦炎,60%
肠病性肢端皮炎,85%
小儿出血性疾病,70%
肠出血性大肠埃希杆菌感染,98%
小儿出血性休克和脑病综合征,40%
肠道病毒71型感染,85%
性病性淋巴肉芽肿,35%
小儿触电与雷击,90%
肠道感染后反应性关节炎,65%
支气管结石症,80%
小儿传染性单核细胞增多症,85%
肠道革兰阴性杆菌脑膜炎,99%
消化道溃疡,80%
小儿喘息样支气管炎,95%以上，少部分可发展为成人哮喘
肠道血管畸形,85%
阿尔采末病,60%
肠毒性大肠埃希杆菌感染,90%
小儿纯红细胞再生障碍性贫血,65%
侏儒症,5%
肠杆菌肺炎,75%
阿斯伯格综合症,20%
小儿脆性X染色体,75%
胃窦炎,40-60%
肠毛滴虫病,90%
抽动障碍,80%
小儿错畸形,10--20%
化脓性腮腺炎,40-60%
肠球菌肺炎,60%
多发脑梗塞性精神障碍,76%
小儿大动脉炎,60%-75%
无脑儿,无法治愈，可终止妊娠
肠伤寒穿孔,91.3%
癫痫伴发的精神障碍,30%
小儿大动脉转位,85%
消化不良,一般经过治疗后99%可以痊愈
儿童期精神障碍及精神发育迟缓,10%
化脓性中耳炎,40-60%
小儿大脑半球胶质瘤,50%
肠石性肠梗阻,80%
小儿单侧肺异常透亮综合征,80%
肠系膜静脉血栓形成,75%
反应性精神病,85%
子宫性不孕,30%
精神活性物质所致精神障碍,15%
肠系膜裂孔疝,70%
坏死性外耳道炎,30%
急性应激反应,86%
肠系膜肿瘤,74%
习惯性便秘,90%
焦虑症,65%
尘螨过敏性哮喘,75%
紫癜,60%
记忆障碍,60%
小脑萎缩,40%
成人腹股沟斜疝,90%
小儿单纯肺动脉口狭窄,70%
精神发育迟滞,70%
细菌性脑膜炎,25%
成人骨坏死,股骨头坏死为不可根治疾病，治疗多是缓解临床症状
小儿单纯性甲状腺肿,75%-85%
习惯性流产,治愈率76%
成人型慢性粒细胞白血病,80%
小儿单纯性血尿,75%
精神分裂症,10%，易反复发病
肝硬化腹水,腹水症状的缓解率80%以上，但需要长期维持治疗
成人型女性乳房肥大症,60-70%
胃痉挛,95%
成人痒疹,95%
酒精所致精神障碍,48%
小儿单房性骨囊肿,85%
会厌囊肿,99%
小儿胆道蛔虫症,80-85%
甲状腺功能减退伴发的精神障碍,70%
激素性股骨头坏死,80%
成人硬肿症,以对症治疗为主，多可治愈
会厌炎,40-60%
迟发性外伤性脑内血肿,70-80%
小儿弹性假黄瘤,75%
恐缩症,80%
肌肉萎缩,30%
迟发性运动障碍,60%
小儿蛋白质-能量营养不良,98%
宫腔粘连,95%
窥阴癖,60-80%
持久性豆状角化过度病,30-50%，以对症治疗为主
小儿低氯性氮质血症综合征,60%
白带异常,95%
小儿低钠血症,90%
持久性隆起性红斑,30-40%
恐怖性焦虑障碍,76%
小儿低心排出量综合征,60%
持久性色素异常性红斑,无法根治，以改善症状治疗为主
痛风石,80%
持续性交接区折返性心动过速,55%
小儿低血糖,90%
恐怖症,70%
持续性输卵管妊娠,60%
小儿迪格奥尔格综合征,40-50%
恋物癖,70%
持续性枕横位难产,外科手术治愈率约为85%
小儿骶尾部畸胎瘤,25%
宫颈肥大,95%
露阴癖,70-80%
持续性肢皮炎,70--90%
小儿地方性克汀病,70%
老年期抑郁障碍,68%
小儿癫痫,70-80%
脑外伤所致精神障碍,根据不同类型预后不一
乳房疼痛,80%
持续性植物状态,10%
小儿癫痫发作诱发失语综合征,35%
偏执性精神障碍,40%
乳房肿块,90%
尺骨干骨折,80%
气功所致精神障碍,40%
小儿碘缺乏病,后天性碘缺乏无并发症者治愈率95%，伴有神经系统发育障碍者，无法治愈。
耻骨直肠肌综合征,70%
肛门尖锐湿疣,30%
情感障碍,75%
充血性心力衰竭,是不能治愈的疾病
小儿淀粉样变性病,50%
甲状腺血管瘤,80%
冲浪者结节,60%
虫霉病,80%
强迫症,70%
小儿丁型病毒性肝炎,无法治愈
淤胆型肝炎,50%
抽动秽语综合征,40%
小儿动力性肠梗阻,78%
强迫性障碍,74%
大隐静脉曲张,95%以上
臭汗恐惧症,65%
躯体疾病伴发的精神障碍,70%
小儿动脉导管未闭,74%
臭汗症,60-70%
复发性阿弗他溃疡,80%
人格障碍,80%
小儿动脉肝脏发育异常综合征,55%-65%
出血败血性巴斯德菌感染,30%
膝关节韧带损伤,75%-85%
神经发育迟滞,78%
小儿动脉瘤样骨囊肿,手术治愈率约为85%
腰椎骨折,70%
出血性膀胱炎,90%
小儿窦性心动过缓,95%
失眠症,98%
出血性输卵管炎,91.1%
胸腰椎骨折,外科手术治愈率约为65%
小儿窦性心动过速,95%
创伤性骨化性肌炎,60%
小儿窦性心律失常,75%
创伤性骨髓炎,70%
子宫内膜厚,40-60%
小儿短指-球状晶体异位综合征,40-60%
神经性厌食症,90%
创伤性关节炎,70%
眼底病,50--70%
小儿多发性肾小管功能障碍综合征,30%
嗜睡症,98%
创伤性肩关节后脱位,80%
小儿多发性硬化,25%
胚胎停育,30%
系统性红斑狼疮所致精神病,65%
创伤性休克,治愈率50%
小儿多囊肾,50%
输卵管粘连,95%
创伤性血胸,90%(如果出现及时就医，一般二级以上医院都能治愈，治愈率在90%以上。)
性障碍,80%
小儿多器官功能障碍综合征,80%
内分泌失调,40%
春季结膜炎,90%--95%
小儿多源性房性心动过速,70-80%
性欲减退,20%
催乳素瘤,治愈率92%
小儿发育性角回综合征,10%
脆甲症,80%
小儿发育性髋脱位,70%
髂静脉压迫综合征,65%
遗忘综合征,70%
小儿发作性睡病,75%
放射性颌骨骨髓炎,98%
重复膀胱,85%
应激反应及适应障碍,50%
小儿发作性舞蹈手足徐动症,70%
重复尿道,60%
小儿法洛四联症,30%
骨不连,70%
重复阴茎,60%
抑郁症,70%
DF-2败血症的皮肤表现,70%
H7N9型禽流感,40-60%
小儿范科尼综合征,10%
抑郁性神经症,45%
卵泡发育不良,30%
δ-贮存池病,无法治愈，以对症治疗为主
小儿房间隔缺损,100%
大肠埃希杆菌性胃肠炎,99%
巧克力囊肿,40-60%
异性装扮癖,30%
大肠脂肪瘤,90%
大动脉炎,50--70%
癔球症,95%
小儿房室传导阻滞,80%
宫寒,40-60%
癔症,60-70%
小儿非霍奇金淋巴瘤,40%
疑病症,75%
小儿非内脂性网状内皮增殖综合征,45%
大颗粒淋巴细胞白血病,45%
盆腔积液,85%
大脑镰旁脑膜瘤,40%
小儿肥厚型心肌病,50%
输卵管上举,60%
大脑凸面脑膜瘤,70%
包皮水肿,90%
小儿肥胖性生殖无能综合征,外科手术治愈率约为75%
谵妄综合征及有关疾病,75%
子宫积液,40-60%
小儿肥胖症,80%
大网膜肿瘤,60%
小儿腓骨肌萎缩症,30-50%
代谢性白内障,50--70%
小儿肺不张,70%
阴囊潮湿,60%--70%
带状疱疹性角膜炎,86%
小儿肺出血-肾炎综合征,60%
急性尿道炎,40-60%
单侧肺气肿,70%
小儿肺动脉高压,85%
小儿咳嗽,98%
单纯疱疹病毒肺炎,70%
小儿肺隔离症,70%
单纯疱疹性葡萄膜炎,70%
小儿肺脓肿,97%
阴囊炎,80%
单纯肾异位,如无内脏压迫者一般不需治疗，不影响健康
小儿肺泡性蛋白沉积症,0.5%
单纯性肺嗜酸性粒细胞增多症,40%
小儿肺栓塞,20%
小儿肺水肿,85%
单纯性寰枢椎脱位,80%
小儿肺炎链球菌脑膜炎,治愈率86%
滴虫性尿道炎,40-60%
单纯性脊柱结核,92%
精液不液化,40-60%
小儿分离性焦虑症,80%
单纯性肾囊肿,治愈率97%
小儿腹股沟斜疝,86%
急性浅表性包皮龟头炎,40-60%
单房性骨囊肿,80%
体寒,80%
小儿腹泻病,99%
单核细胞白血病,75%
小儿腹胀,98%
子宫内膜不规则脱落,80%
小儿干扰素-γ受体缺陷病,30%
月经量少,95%
单克隆丙种球蛋白病伴周围神经病,70%
