肺泡蛋白质沉积症,约3个月
肠杆菌肺炎,3-5周
阿斯伯格综合症,1-2年
小儿脆性X染色体,1-2个月
胃窦炎,1-3个月
肠毛滴虫病,7-14天
抽动障碍,1-3个月
小儿错畸形,1--3个月
化脓性腮腺炎,2周
肠球菌肺炎,1-2个月
多发脑梗塞性精神障碍,7-14天
小儿大动脉炎,8-12周
无脑儿,2-4周
肠伤寒穿孔,15天
癫痫伴发的精神障碍,终身间歇性治疗
小儿大动脉转位,2-4周
消化不良,3-7周
儿童期精神障碍及精神发育迟缓,6个月
化脓性中耳炎,2周
小儿大脑半球胶质瘤,3个月
肠石性肠梗阻,2-4周
小儿单侧肺异常透亮综合征,2个月
肠系膜静脉血栓形成,2-4月
反应性精神病,1-3个月
子宫性不孕,3-6个月
精神活性物质所致精神障碍,2-4年
肠系膜裂孔疝,1-3周
坏死性外耳道炎,半年
急性应激反应,三个月到半年
肠系膜肿瘤,手术治疗周期7天
习惯性便秘,7-30天或更长时间
焦虑症,两周
尘螨过敏性哮喘,30天
紫癜,7-90天
记忆障碍,1-3年
小脑萎缩,1-3年
成人腹股沟斜疝,1-2个月
小儿单纯肺动脉口狭窄,3个月
精神发育迟滞,3-6月
细菌性脑膜炎,1-3个月
成人骨坏死,1-6周
小儿单纯性甲状腺肿,1-2月
习惯性流产,治疗周期15天
成人型慢性粒细胞白血病,1-3个月
小儿单纯性血尿,1-3个月
精神分裂症,6个月
肝硬化腹水,平均1个月（0.5-6个月）
成人型女性乳房肥大症,2-4个月
胃痉挛,1-2个月
成人痒疹,3-6月
酒精所致精神障碍,7天
小儿单房性骨囊肿,1-3个月
会厌囊肿,5天
小儿胆道蛔虫症,3个月
甲状腺功能减退伴发的精神障碍,3-6个月
激素性股骨头坏死,1-3个月
成人硬肿症,终身间歇性对症治疗
会厌炎,2周
迟发性外伤性脑内血肿,3-6个月
小儿弹性假黄瘤,8-12周
恐缩症,3-6周
肌肉萎缩,3-6个月
迟发性运动障碍,1-3个月
小儿蛋白质-能量营养不良,1-3月
宫腔粘连,1-2个月
窥阴癖,1-3年
持久性豆状角化过度病,1-3年
小儿低氯性氮质血症综合征,1-2个月
白带异常,15天
小儿低钠血症,1个月
持久性隆起性红斑,1-3年
恐怖性焦虑障碍,90天
小儿低心排出量综合征,1-3个月
持久性色素异常性红斑,终身对症治疗
痛风石,1-3个月
持续性交接区折返性心动过速,3个月
小儿低血糖,3--7天
恐怖症,1-3月
持续性输卵管妊娠,2-4周
小儿迪格奥尔格综合征,1-3个月
恋物癖,3-6月
持续性枕横位难产,4-8周
小儿骶尾部畸胎瘤,1-3个月
宫颈肥大,1-2个月
露阴癖,1-3年
持续性肢皮炎,7--14天
小儿地方性克汀病,1-3个月
老年期抑郁障碍,2-4月
小儿癫痫,2-3年
脑外伤所致精神障碍,1-3年
乳房疼痛,1-2周
持续性植物状态,30天
小儿癫痫发作诱发失语综合征,1--6个月
偏执性精神障碍,3个月
乳房肿块,1-2周
尺骨干骨折,1-3个月
气功所致精神障碍,2-6个月
小儿碘缺乏病,1-2年
耻骨直肠肌综合征,1-3个月
肛门尖锐湿疣,1-3个月
情感障碍,1-3个月
充血性心力衰竭,长期服药
小儿淀粉样变性病,2-4月
甲状腺血管瘤,1-3个月
冲浪者结节,1-3个月
虫霉病,2--4周
强迫症,3-5年
小儿丁型病毒性肝炎,终身治疗
淤胆型肝炎,3-6个月
抽动秽语综合征,3个月
小儿动力性肠梗阻,7-14天
强迫性障碍,2-4个月
大隐静脉曲张,1-4个月
臭汗恐惧症,1-3年
躯体疾病伴发的精神障碍,3-6个月
小儿动脉导管未闭,7-30天
臭汗症,1-2个月
复发性阿弗他溃疡,2-4周
人格障碍,3-6月
小儿动脉肝脏发育异常综合征,8-12周
出血败血性巴斯德菌感染,7-10天
膝关节韧带损伤,4-8周
神经发育迟滞,1-3个月
小儿动脉瘤样骨囊肿,4-6周
腰椎骨折,7-90天
出血性膀胱炎,5-7天
小儿窦性心动过缓,1-3月
失眠症,2-4周
出血性输卵管炎,15天
胸腰椎骨折,3-6个月
小儿窦性心动过速,3-6月
创伤性骨化性肌炎,4个月
小儿窦性心律失常,1-3个月
创伤性骨髓炎,30天
子宫内膜厚,3-6个月
小儿短指-球状晶体异位综合征,需多次手术
神经性厌食症,1-3个月
创伤性关节炎,30-100天
眼底病,7-30天
小儿多发性肾小管功能障碍综合征,1-3个月
嗜睡症,1-3个月
创伤性肩关节后脱位,2-4周
小儿多发性硬化,1-3个月
胚胎停育,3个月
系统性红斑狼疮所致精神病,半年以上
创伤性休克,根据受伤部位，受伤情况而定
小儿多囊肾,3-6个月
输卵管粘连,2-4周
创伤性血胸,15-30天
性障碍,1-3个月
小儿多器官功能障碍综合征,1-3个月
内分泌失调,120天
春季结膜炎,7--10天
小儿多源性房性心动过速,2-4周
性欲减退,3-6个月
催乳素瘤,治疗周期90天
小儿发育性角回综合征,3-6个月
脆甲症,1-2个月
小儿发育性髋脱位,1-3个月
髂静脉压迫综合征,1-2年
遗忘综合征,5-7月
小儿发作性睡病,1年
放射性颌骨骨髓炎,2-4周
重复膀胱,3-6个月
应激反应及适应障碍,2-4年
小儿发作性舞蹈手足徐动症,1-3个月
重复尿道,2-4周
小儿法洛四联症,30-60天
骨不连,3-6个月
重复阴茎,1-3个月
抑郁症,6个月
DF-2败血症的皮肤表现,1-2个月
H7N9型禽流感,1-3个月
小儿范科尼综合征,1-3个月
抑郁性神经症,1-3月
卵泡发育不良,3-6个月
δ-贮存池病,终身治疗
小儿房间隔缺损,2周左右
大肠埃希杆菌性胃肠炎,2-5周
巧克力囊肿,1-3个月
异性装扮癖,3-6个月
大肠脂肪瘤,2-4周
大动脉炎,14--30天
癔球症,3-6个月
小儿房室传导阻滞,1个月
宫寒,1-3个月
癔症,3-6个月
小儿非霍奇金淋巴瘤,3-6月
疑病症,3个月
小儿非内脂性网状内皮增殖综合征,2-4月
大颗粒淋巴细胞白血病,2-4个月
盆腔积液,7-14天
大脑镰旁脑膜瘤,3个月
小儿肥厚型心肌病,终身治疗
输卵管上举,3-9个月
大脑凸面脑膜瘤,2-4月
包皮水肿,2-4周
小儿肥胖性生殖无能综合征,1-3个月
谵妄综合征及有关疾病,2-3月
子宫积液,1-3个月
小儿肥胖症,2-3年
大网膜肿瘤,1--3周
小儿腓骨肌萎缩症,3-5年
代谢性白内障,10-21天
小儿肺不张,10-14天
阴囊潮湿,2-4周
带状疱疹性角膜炎,2周至2月
小儿肺出血-肾炎综合征,6-12月
急性尿道炎,1-3个月
单侧肺气肿,3个月
小儿肺动脉高压,4-8周
小儿咳嗽,7-20天
单纯疱疹病毒肺炎,7-14天
小儿肺隔离症,2个月
单纯疱疹性葡萄膜炎,1-3周
小儿肺脓肿,3-6周
阴囊炎,1-3个月
单纯肾异位,3个月
小儿肺泡性蛋白沉积症,1-3个月或更长
单纯性肺嗜酸性粒细胞增多症,10-30天
小儿肺栓塞,2-4天
小儿肺水肿,1-2个月
单纯性寰枢椎脱位,1-3周
小儿肺炎链球菌脑膜炎,治疗周期21天
滴虫性尿道炎,1-3个月
单纯性脊柱结核,9个月
精液不液化,1-3个月
小儿分离性焦虑症,3-6月
单纯性肾囊肿,手术治疗周期7天
小儿腹股沟斜疝,7-14天
急性浅表性包皮龟头炎,1-3个月
单房性骨囊肿,3-6周
体寒,1-3个月
小儿腹泻病,7-10天
单核细胞白血病,1-3个月
小儿腹胀,3-5天
子宫内膜不规则脱落,2-4周
小儿干扰素-γ受体缺陷病,需终身治疗
月经量少,30天
单克隆丙种球蛋白病伴周围神经病,1-2个月
包皮炎,2-4周
单神经病与神经丛神经病,8-12周
早秃,1-3个月
小儿干燥综合征,3-6个月
单眼双下转肌麻痹,7--21天
儿童尖锐湿疣,2-4周
小儿肝豆状核变性,10-15天
胆肠内引流术后内疝,1-3周
女性尖锐湿疣,1-3个月
小儿肝母细胞瘤,1-3个月
胆道运动功能障碍,10-30天
男性尖锐湿疣,1-3个月
小儿肝衰竭,2--6个月
错构瘤,2-4周
苯丙胺中毒,2--8周
小儿肝素-血小板减少-血栓形成综合征,1-3个月
多肌炎,1-2年
苯海拉明中毒,1-3个月
小儿肝性脑病,7-14天
胆固醇脓胸,8-12周
多瓣膜病,30天
胆囊类癌,3-6周
小儿肝炎再生障碍性贫血综合征,3-6个月
髌骨脱位,1-3个月
胆囊良性肿瘤,4-6周
小儿肝硬化,3-6个月
胆囊平滑肌肉瘤,15-30天
小儿肝肿瘤,3--6个月
胆源性慢性胰腺炎,8-12周
病毒性睑皮炎,1-3个月
小儿感染性休克,7-14天
蛋白丢失性胃肠病,3个月
多器官功能障碍综合征,3个月
稻农皮炎,1-3个月
小儿高磷酸酶血症,3个月
玻璃体病,14--21天
登革出血热,2-4周
代谢综合征,1-3个月或更长时间
小儿高免疫球蛋白E综合征,1-2年
低镁血症,2-5天
小儿高黏稠综合征,1-3个月
低钠血症,3-7天
玻璃体寄生虫病,2-4周
低血压,5-20天
小儿戈谢病,1-3个月
小儿弓形腿综合征,2-3年
迪格奥尔格综合征,3个月
骶骨骨折,30天
Pick病和额颞痴呆,3个月
地方性克汀病,3-6个月
小儿功能性消化不良,1-2周
Rotor综合征,3个月
颠茄碱类植物药物中毒,1-3个月
小儿汞中毒,10-14天
地霉菌病,1个月
白化病,6-12个月
毒蛇咬伤,1-2周
第Ⅱ、Ⅲ型脊髓血管畸形,3个月
白细胞减少症,2-6个月
对乙酰氨基酚中毒,14天
小儿共济失调毛细血管扩张Ⅰ型综合征,3个月
第3腰椎横突过长畸形,3个月
小儿共济失调毛细血管扩张综合征,3-6个月
单纯性紫癜,10天
第Ⅳ型脊髓血管畸形,1-3个月
玻璃体液化,2-4周
小儿孤独症,12-24个月
侧颅底肿瘤,10-30天
第一掌骨基底部骨折脱位,1-3个月
小儿骨肉瘤,3-6个月
癫痫发作与癫痫综合征,2-3年
癫痫性精神障碍,需长期服药治疗
产后风湿,30天
小儿骨软骨瘤,1-3个月
典型预激综合征,3-6个月
不完全性肠梗阻,1-3个月
II型肾小管性酸中毒,7--14天
碘源性甲亢,3-6个月
小儿骨髓增生异常综合征,3-6个月
肠粘连,10-30天
淀粉样变病和淀粉样关节病,1-2年
儿童分离性焦虑障碍,3-6年
肠系膜血管缺血性疾病,2-4周
小儿骨硬化病,30天
小儿骨与关节结核,1年
膝外翻,3-6个月
儿童焦虑症,1-2个月
小儿关节过度活动综合征,3-10周
淀粉样变心肌病,终身间歇性对症治疗
小儿关节弯曲综合征,2-4周
尺神经麻痹,1-3个月
淀粉样变性,终身间歇性对症治疗
小儿胱氨酸病,1-3年
儿童恐惧症,3-6月
淀粉样变性周围神经病,终身间歇性治疗
出血性脑卒中,30天
小儿过敏性紫癜肾炎,3-6个月
叠瓦癣,2-3个月
小儿过敏症,1周-2个月
高原适应不全症,根据病情，一般是2-4周
蝶骨嵴脑膜瘤眼部病变,3个月
小儿海蓝组织细胞增生症,1-3年
蝶骨脑膜瘤的眼眶病变,6-8周
疤痕,1-3个月
小儿黑酸尿综合征,终身间歇性治疗
冬季瘙痒症,1-2个月
胆道感染,3-5周
小儿横纹肌肉瘤,1-3年
冬眠瘤,3-6月
传导性耳聋,2--6周
动静脉血管瘤,7-14天
小儿红白血病,需要终身治疗
儿童社交恐惧症,1-3年
小儿后颅窝型脑积水综合征,1-3个月
斑疹伤寒,1-3个月
窦房传导阻滞,1-3个月
小儿后尿道瓣膜,3-6个月
耳廓假囊肿,2-4周
窦房折返性心动过速,30天
鼻部脑膜脑膨出,7-14天
窦室传导,3-6个月
河豚毒素中毒,2-4周
创伤性耳聋,2-4周
窦性期前收缩,1-2年
小儿呼吸道合胞病毒肺炎,10-14天
耳廓外伤,1-2个月
窦性组织细胞增生伴巨大淋巴结病,30天
小儿呼吸衰竭,2-4周
膀胱湿热,4周
小儿坏死性龈口炎,10-30天
椎-基底动脉盗血综合征,1-2年
毒性弥漫性甲状腺肿,3-6月
小儿黄疸肝脏色素沉着综合征,3-6个月
急性硫化氢中毒,1-3个月
小儿回盲肠综合征,3个月
胆道结石,1-5个月
毒鱼刺伤,1-3个月
小儿蛔虫性肠梗阻,2-4周
杜波组织胞浆菌病,2--8周
耳外伤,7--15天
短P-R综合征,1-2个月
椎体骨软骨病,3-6个月
小儿混合性结缔组织病,3-5年
短肠综合征,1-3个月
耳硬化症,2-4周
小儿获得性免疫缺陷综合征,2-4年
短骨骨干结核,1-3个月
鼻窦粘膜囊肿,两周
小儿获得性免疫缺陷综合征肾病,2-4年
短腰畸形,8-12周
唇腭裂,7--21天
小儿霍奇金病,2-6个月
短暂性大脑缺血性发作,10-30天
发育迟缓,根据不同的病因可以数月或数年
小儿肌阵挛性癫痫,1-3年或更长
短暂性棘皮松解皮肤病,1-3年
鼻窦粘液囊肿,1-2个月
小儿基底细胞痣综合征,3-6个月
飞蚊症,120天
小儿吉兰-巴雷综合征,1-3个月
法洛三联症,3-6个月
小儿急进性肾小球肾炎,3-6个月
对称性进行性红斑角化症,3个月
肺动脉瓣关闭不全,手术治疗周期14天
小儿急性播散性脑脊髓炎,6个月
小儿急性肠系膜淋巴结炎,7-14天
反流性肾病,1-3个月
多巴反应性肌张力障碍,终身间歇性治疗
小儿急性出血性坏死性肠炎,3-6周
肺动脉闭锁,手术治疗周期14天
多发性斑状色素沉着症,2周-4周
小儿急性非淋巴细胞性白血病,6-12月
小儿急性横贯性脊髓炎,1-3个月
多发性肌炎-皮肌炎,7-14天
反射性晕厥,3-6个月
多房棘球蚴病,1-3个月
小儿急性喉气管支气管炎,7-14天
麻黄碱中毒,15天
肺静脉异位引流,2-4周
多睾症,2-4周
小儿急性呼吸衰竭,1-2个月
多骨纤维发育不良,2-3周
小儿急性化脓性关节炎,1-3月
马桑果中毒,2-4周
房事两感症,1个月
曼陀罗中毒,2-3周
多杀巴斯德杆菌病,3-6周
小儿急性化脓性甲状腺炎,1-3个月
小儿急性间歇性卟啉病,1-5年
多肾盏畸形,8-12周
锰中毒,3-8周
多系统器官功能衰竭,3-6个月
灭虫灵中毒,4-6周
小儿急性偏瘫,1-3个月
鼻前颅底肿瘤,1-3个月
木薯中毒,1-7天
小儿急性气管支气管炎,7天
多系统萎缩,需长期治疗
鼻骨瘤,1-3个月
慢性铅中毒,3-6月
多源性房性心动过速,7-10天
房室交界区性逸搏,1-3个月
棉子中毒,2-4周
多灶性脉络膜炎伴全葡萄膜炎,30天
小儿急性上呼吸道感染,7-14天
淋巴管平滑肌瘤,1-3个月
拟除虫菊类农药中毒,根据情况，一般为1-2周
小儿急性髓样白血病,4-6个月
多灶性运动神经病,1-3月
胆道肿瘤,1个月
小儿急性胃炎,7-30天
多指畸形,14天
鼻源性头痛,1个月
小儿急性小脑性共济失调,2-4月
多中心性网状组织细胞增生症,2-4月
粉碎性骨折,1-3个月
Ⅱ型免疫母细胞性淋巴腺病,2-4个月
小儿急性血行播散型肺结核,12个月
胆道癌,1-3个月
EB病毒感染,2-4月
风湿性疾病,3-6个月
小儿急性血源性骨髓炎,2-3个月
鼻中隔血肿及脓肿,1-2个月
额外肾,1-3月
小儿急性中毒性脑病,7-14天
非器质性冷阴,3-6个月
额叶癫痫,6-24个月
恶心和呕吐,2--7天
腹股沟疝,7--21天
鼻肿瘤,3-6月
小儿脊髓前动脉综合征,30天
胆管炎性狭窄,2-4月
恶性高血压,需终身服药治疗
小儿脊髓损伤,3-6个月
非器质性性乐高潮障碍,1-3年
小儿脊髓性肌萎缩,3-12个月
恶性高血压视网膜病变,终身治疗
腹膜肿瘤,3个月
小儿脊柱裂,10天
恶性蓝痣,3-6个月
小儿鼻炎,1-3个月
小儿继发性腹膜炎,2-4周
恶性脑膜瘤,3-6月
小儿继发性免疫缺陷病,需终身治疗
恶性萎缩性丘疹病,2个月
恶性小汗腺螺旋腺瘤,1个月
肝病,1-3个月
恶性胸腔积液,1-2月
非器质性性欲减退,3--6周
恶性血管内皮细胞瘤,3个月
肝破裂,10-30天
恶性营养不良病,1-2个月
高甘油三酯血症,1-3月
恶性肿瘤所致贫血,3-6个月
小儿继发性免疫性血小板减少性紫癜,2-5月
胆脂瘤型中耳炎,1-2周
小儿继发性血小板增多症,1-2周
过敏性结膜炎,7-14天
泌尿生殖系损伤,21天
小儿加压素分泌过多综合征,1--3个月
鳄皮婴儿综合征,2-4月
高胰岛素血症,3-6个月
小儿家族性低血磷性佝偻病,3-6月
小儿家族性非溶血性黄疸综合征,1-2个月
胆总管囊肿,14天-1个月
二度房室传导阻滞,终身间歇性对症治疗
小儿家族性复发性血尿综合征,1-3个月
过敏性皮炎,1-3个月
小儿家族性嗅神经-性发育不全综合征,终身间歇性对症治疗
小儿家族性自主神经失调综合征,终身治疗
闭锁综合征,数月到数年
小儿甲基丙二酸血症,终身间歇性对症治疗
二尖瓣、主动脉瓣和三尖瓣的合并疾患,治疗周期14天
咳嗽,1-6个月
小儿甲状旁腺功能减退症,2-4个月
二尖瓣闭锁不全,治疗周期14天
扁桃体癌,1-12月
小儿甲状腺癌,1-3个月
跟腱断裂,1-6个月
小儿甲状腺功能亢进症,3个月
颈部水囊瘤,1-3个月
小儿贾第虫病,10--14天
二氧化氮中毒,2-4月
红斑型天疱疮,3-7周
小儿假肥大型肌营养不良,30天
二氧化硫中毒,2-4月
颈动脉盗血综合征,10-30天
小儿假膜性肠炎,2-4周
淋巴癌,1-3年
虹膜囊肿,2-4周
小儿假性甲状旁腺功能减低症,1-3个月
颞叶癫痫,3-5年
小儿假性粒细胞减少症,1-2周
发疱性甲虫皮炎,1-7天
黄斑前膜,2-4周
小儿尖端扭转型室性心动过速,2-8周
颈肩痛,10天
发疹性毳毛囊肿,2-4周
小儿尖头并指趾综合征,3-7周
发作性嗜睡强食综合征,8-12周
小儿结核性胸膜炎,6-18个月
发作性睡病,1-2个月
虹膜炎,2周-3个月
小儿结节病,1-3个月
反射性交感神经营养不良综合征,50—100天
小儿结节性多动脉炎,1-3个月
反射性躯体神经病,1-3年
蛋白尿,3个月-终身治疗
躯体性神经病,1-3个月
小儿结节性甲状腺肿,3个月
颈内动脉海绵窦瘘,1-2个月
小儿结节性硬化症,康复治疗需要数年
喉插管损伤,1-2周
小儿结节性硬化综合征,3个月
反向斜视,3-6月
反应性穿孔性胶原病,1-3个月
小儿结节性脂膜炎,6-12个月
反应性浆细胞增多症,10-30天
小儿结膜吸吮线虫病,10-15天
体温过低,7-10天
肌腱炎,1-3个月
泛发性扁平黄色瘤,1-3个月
小儿近端肾小管酸中毒,2-4周
喉刺伤,1-2个月
泛发性毛囊错构瘤,10-30天
小儿进行性骨干发育不良,3-6个月
倒睫,1-2周
泛发性特发性毛细血管扩张,3-6个月
肌纤维组织炎,2-4周
范科尼综合征,1-3个月
小儿进行性骨化性肌炎,30-60天
功能性聋,一周
房间隔缺损,14天
小儿颈交感神经麻痹综合征,3-6个月
房室交接区逸搏和逸搏心律,1-3个月
喉淀粉样变,6-12个月
小儿颈椎融合综合征,1-3个月
房室结折返性心动过速,2-4周
宫颈癌前病变,3-6个月
小儿巨大膀胱-巨大输尿管综合征,1-3个月
房室折返性心动过速,10--21天
小儿巨大血小板综合征,终身治疗
宫颈湿疣,3-7周
小儿巨脑畸形综合征,3-6个月
低血容量性休克,不同的病因差别很大
骶管囊肿,4-6周
小儿巨细胞病毒肺炎,1-3个月
肌强直性肌病,8-12周
房性期前收缩,4-6周
小儿巨幼细胞性贫血,2-4周
小儿军团病,15天
房性心动过速伴房室传导阻滞,8周
小儿军团病肾病,1-3个月。
股神经痛,3-6个月
小儿卡肺囊虫肺炎,1-3个月
房性逸搏和房性逸搏心律,3个月
喉火器伤,2-4月
小儿卡斯钦-贝克病,3-6个月
放射性甲状腺炎,终身治疗
股外侧皮神经病,7-14天
小儿抗利尿激素分泌异常综合征,终身治疗
放射性皮炎,2-4周
原发性膀胱输尿管返流,10天-0.5个月
喉角化症,1-3个月
放射性肾炎,3个月
小儿抗磷脂综合征,1-3个月
骨裂,1-3个月
